2026-08-01 16:21:25 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig05_incremental_configuration_value.pdf
2026-08-01 16:21:25 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig05_incremental_configuration_value.csv
2026-08-01 16:21:25 | INFO     | co2_forecast | fig05: 4 comparisons
2026-08-01 16:21:26 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig14a_mcda_rank_sensitivity_stream_A.pdf
2026-08-01 16:21:26 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig14a_mcda_rank_sensitivity_stream_A.csv
2026-08-01 16:21:26 | INFO     | co2_forecast | fig14: 8 schemes, top choice disagrees in 12/28 pairs
2026-08-01 16:21:27 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig14b_mcda_rank_sensitivity_stream_B.pdf
2026-08-01 16:21:27 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig14b_mcda_rank_sensitivity_stream_B.csv
2026-08-01 16:21:27 | INFO     | co2_forecast | fig14: 8 schemes, top choice disagrees in 17/28 pairs
2026-08-01 16:21:28 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig08_b1_feature_selection_membership.pdf
2026-08-01 16:21:28 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig08_b1_feature_selection_membership.csv
2026-08-01 16:21:28 | INFO     | co2_forecast | fig08/09 (B1): 11 features x 5 FS methods
2026-08-01 16:21:28 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig08_b2_feature_selection_membership.pdf
2026-08-01 16:21:28 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig08_b2_feature_selection_membership.csv
2026-08-01 16:21:28 | INFO     | co2_forecast | fig08/09 (B2): 25 features x 5 FS methods
2026-08-01 16:21:29 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig08_b3_feature_selection_membership.pdf
2026-08-01 16:21:29 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig08_b3_feature_selection_membership.csv
2026-08-01 16:21:29 | INFO     | co2_forecast | fig08/09 (B3): 23 features x 5 FS methods
2026-08-01 16:21:29 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig08_b4_feature_selection_membership.pdf
2026-08-01 16:21:29 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig08_b4_feature_selection_membership.csv
2026-08-01 16:21:29 | INFO     | co2_forecast | fig08/09 (B4): 37 features x 5 FS methods
2026-08-01 16:21:30 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig15_best_A_cross_model_feature_importance.pdf
2026-08-01 16:21:30 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig15_best_A_cross_model_feature_importance.csv
2026-08-01 16:21:30 | INFO     | co2_forecast | fig15: top 15 of 37 features
2026-08-01 16:21:30 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/figs_smoke/fig17_best_A_regime_specific_importance.pdf
2026-08-01 16:21:30 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig17_best_A_regime_specific_importance.csv
2026-08-01 16:21:30 | INFO     | co2_forecast | fig17: 10 features x 3 regimes
