family,sum,mean,count,share_of_total,regime
raw_exogenous,0.15266474353633963,0.030532948707267926,5,0.973532843153726,pre_covid
mobility_exogenous,0.004150452386365421,0.004150452386365421,1,0.026467156846273997,pre_covid
raw_exogenous,0.1225198317129203,0.02450396634258406,5,0.95012031514328,covid
mobility_exogenous,0.0064320807556011925,0.0064320807556011925,1,0.04987968485671998,covid
raw_exogenous,0.1139170793094789,0.022783415861895782,5,0.9840160658948736,post_covid
mobility_exogenous,0.0018504200817852426,0.0018504200817852426,1,0.015983934105126538,post_covid
