2026-09-17 22:23:59 | INFO     | co2_forecast |   Iteration 5: Best fitness = 0.655353
2026-09-17 22:24:00 | INFO     | co2_forecast |   Iteration 9: Best fitness = 0.644572
2026-09-17 22:24:00 | INFO     | co2_forecast | PSO complete. Best fitness: 0.644572
2026-09-17 22:24:00 | INFO     | co2_forecast |   Best params: {'n_estimators': 50, 'learning_rate': 0.24875557248327107, 'num_leaves': 127, 'max_depth': 3, 'min_child_samples': 5, 'reg_alpha': 0.09419715994303053, 'reg_lambda': 1.6116769810147058}
2026-09-17 22:24:00 | INFO     | co2_forecast |   Best fitness: 0.644572
2026-09-17 22:24:00 | INFO     | co2_forecast | [A3_no_grid/panel2_common_period/all_features/lightgbm] sweep tuning: best_params={'n_estimators': 50, 'learning_rate': 0.24875557248327107, 'num_leaves': 127, 'max_depth': 3, 'min_child_samples': 5, 'reg_alpha': 0.09419715994303053, 'reg_lambda': 1.6116769810147058}
2026-09-17 22:24:00 | INFO     | co2_forecast |   lightgbm -> weighted_mase=0.6370806403789556
2026-09-17 22:24:00 | INFO     | co2_forecast | Creating walk-forward splits for 16 valid samples
2026-09-17 22:24:00 | INFO     | co2_forecast | Created 4 CV folds across horizons [1, 2, 4]
2026-09-17 22:24:00 | INFO     | co2_forecast | Built tuning CV plan: 4 folds from 16 rows before 2022-Qq (evaluation cutoff) - isolation OK (max tuning date 2021-Qq)
2026-09-17 22:24:00 | INFO     | co2_forecast | Optimizing lstm...
2026-09-17 22:24:00 | INFO     | co2_forecast | Starting PSO: 8 particles, 10 iterations
2026-09-17 22:24:00 | WARNING  | co2_forecast | Model training failed with params {'lookback': 7, 'hidden_size': 62, 'num_layers': 2, 'dropout': 0.3394633936788147, 'learning_rate': 0.0016445845403801217, 'batch_size': 8}: LSTM.fit: training data has 8 rows, giving only 1 sequence(s) with lookback=7; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-09-17 22:24:00 | WARNING  | co2_forecast | Model training failed with params {'lookback': 11, 'hidden_size': 26, 'num_layers': 1, 'dropout': 0.17336180394137354, 'learning_rate': 0.0031119982052994237, 'batch_size': 16}: LSTM.fit: training data has 8 rows, giving only 0 sequence(s) with lookback=11; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-09-17 22:24:00 | WARNING  | co2_forecast | Model training failed with params {'lookback': 8, 'hidden_size': 54, 'num_layers': 1, 'dropout': 0.3056937753654447, 'learning_rate': 0.005964904231734221, 'batch_size': 8}: LSTM.fit: training data has 8 rows, giving only 0 sequence(s) with lookback=8; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-09-17 22:24:00 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (6), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Model training failed with params {'lookback': 8, 'hidden_size': 25, 'num_layers': 2, 'dropout': 0.4100531293444458, 'learning_rate': 0.009401039521485473, 'batch_size': 32}: LSTM.fit: training data has 8 rows, giving only 0 sequence(s) with lookback=8; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-09-17 22:24:01 | WARNING  | co2_forecast | Model training failed with params {'lookback': 7, 'hidden_size': 29, 'num_layers': 2, 'dropout': 0.2427013306774357, 'learning_rate': 0.00288125164590507, 'batch_size': 16}: LSTM.fit: training data has 8 rows, giving only 1 sequence(s) with lookback=7; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (6), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:01 | INFO     | co2_forecast |   Iteration 0: Best fitness = 1.014697
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (7), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:01 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (6), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Model training failed with params {'lookback': 8, 'hidden_size': 44, 'num_layers': 1, 'dropout': 0.32389753899663415, 'learning_rate': 0.005520634690128072, 'batch_size': 8}: LSTM.fit: training data has 8 rows, giving only 0 sequence(s) with lookback=8; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (7), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (6), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:02 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (7), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (6), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-09-17 22:24:03 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
