regime,grid_carbon_intensity,grid_generation_mix,weather,macroeconomic,mobility,shock_health,annual_transition
pre_covid,0.5594063078854592,0.13072055250176182,0.06641003961705343,0.1313930888416395,0.03705332799649195,0.07319492470274745,0.0018217584548465607
covid,0.49653783901708554,0.1148276824672668,0.050285393459822324,0.16456884032752558,0.10334115628979067,0.06640968358230778,0.0040294048562013116
post_covid,0.5967801013557423,0.08000742697801341,0.07625764399413669,0.12820625527941293,0.029573613082603315,0.07970412666856912,0.009470832641522117
