n_observations,feature,mean_abs_shap,median_abs_shap,signed_mean_shap,share_of_total_attribution,family,rank
28,Grid_CI_std,0.0602693444269672,0.0653462493996238,0.0010361002392494,0.3179099497768095,grid_carbon_intensity,1
28,Grid_CI_mean,0.0205563733094181,0.0188260987910299,-0.0004445968280556,0.108431171245101,grid_carbon_intensity,2
28,Grid_CI_p90,0.0170604868971317,0.0153044228713521,-0.0008420341846379,0.0899909993082362,grid_carbon_intensity,3
28,COVID_Deaths,0.0140399055899491,0.0142005028024099,0.0003983407351086,0.0740579762963997,shock_health,4
28,Population,0.0136207891473922,0.0129612172156811,0.0019939086387797,0.0718472124583198,macroeconomic,5
28,GDP,0.0129025217596134,0.011736929781338,-0.0010175015374486,0.0680584811995658,macroeconomic,6
28,Air_Temp,0.0109798325131091,0.0112432041682426,-8.43283146832439e-05,0.0579166413039407,weather,7
28,Mobility_Workplaces,0.0089021977274202,0.0059889283036171,-0.0008931215488193,0.0469574915628429,mobility,8
28,Grid_wind_share,0.0074062081518934,0.0058599727348596,-0.0006883548083091,0.0390664156710409,grid_generation_mix,9
28,Grid_low_carbon_share,0.0058938581022088,0.0039227130399407,0.0002880290480191,0.0310890412212027,grid_generation_mix,10
