2026-02-14 13:20:18 | INFO     | co2_forecast | ElasticNet: Selected 18 features
2026-02-14 13:20:18 | INFO     | co2_forecast | Running Gradient Boosting feature selection...
2026-02-14 13:20:18 | INFO     | co2_forecast | Using sklearn GradientBoosting for feature importance
2026-02-14 13:20:18 | INFO     | co2_forecast | Gradient Boosting: Selected 5 features
2026-02-14 13:20:18 | INFO     | co2_forecast | Running Random Forest feature selection...
2026-02-14 13:20:18 | INFO     | co2_forecast | Random Forest: Selected 5 features
2026-02-14 13:20:18 | INFO     | co2_forecast | Running CatBoost feature selection...
2026-02-14 13:20:18 | WARNING  | co2_forecast | CatBoost not available. Using Gradient Boosting fallback.
2026-02-14 13:20:18 | INFO     | co2_forecast | Running Gradient Boosting feature selection...
2026-02-14 13:20:19 | INFO     | co2_forecast | Using sklearn GradientBoosting for feature importance
2026-02-14 13:20:19 | INFO     | co2_forecast | Gradient Boosting: Selected 5 features
2026-02-14 13:20:19 | INFO     | co2_forecast | Embedded methods complete: 5 methods run
2026-02-14 13:20:19 | INFO     | co2_forecast | ==================================================
2026-02-14 13:20:19 | INFO     | co2_forecast | Running hybrid feature selection (filter+wrapper+embedded)...
2026-02-14 13:20:19 | INFO     | co2_forecast | Features selected by all three categories: 12
2026-02-14 13:20:19 | INFO     | co2_forecast | Features with >= 2 votes: 22
2026-02-14 13:20:19 | INFO     | co2_forecast | FS_hybrid final: 22 features selected
2026-02-14 13:20:19 | INFO     | co2_forecast | ==================================================
2026-02-14 13:20:19 | INFO     | co2_forecast | Total FS options: 7
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_linear: 9 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_nonlinear: 3 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_consensus: 3 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_filter: 21 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_wrapper: 13 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_embedded: 21 features
2026-02-14 13:20:19 | INFO     | co2_forecast |   fs_hybrid: 22 features
2026-02-14 13:20:19 | INFO     | co2_forecast | ============================================================
2026-02-14 13:20:19 | INFO     | co2_forecast | Feature Selection Complete!
