regime,n_observations,feature,mean_abs_shap,median_abs_shap,signed_mean_shap,share_of_total_attribution,family,rank
pre_covid,7,Grid_CI_std,0.047215145424223115,0.05258147058672153,-0.018440603650432996,0.24309647867642,grid_carbon_intensity,1
pre_covid,7,Grid_CI_mean,0.02943039575779197,0.035120930090595553,0.02943039575779197,0.15152819101775322,grid_carbon_intensity,2
pre_covid,7,Grid_CI_p90,0.025257322467922734,0.0296223324576742,0.02130689365028402,0.1300423009943079,grid_carbon_intensity,3
pre_covid,7,Population,0.017126198046162937,0.01831892684734117,0.017126198046162937,0.08817760489203658,macroeconomic,4
pre_covid,7,COVID_Deaths,0.014216203512990208,0.013971184092110182,0.014216203512990208,0.07319492470274723,shock_health,5
pre_covid,7,Air_Temp,0.01117585930129986,0.011594212978949026,0.0002741700877355794,0.057541113511752236,weather,6
pre_covid,7,Grid_wind_share,0.009854827745153822,0.01237104031604216,-0.008350178966418034,0.05073952227160798,grid_generation_mix,7
pre_covid,7,Grid_low_carbon_share,0.008554700336641545,0.007912963101591283,0.0028838727503652036,0.044045560154149684,grid_generation_mix,8
pre_covid,7,GDP,0.008393479701426008,0.007033593284276191,0.0025263350447808394,0.04321548394960271,macroeconomic,9
pre_covid,7,Grid_renewable_share,0.006376475510269086,0.007396634471222697,0.006376475510269086,0.03283054047563275,grid_generation_mix,10
pre_covid,7,Mobility_Workplaces,0.006294510793176912,0.006523697660346706,0.006294510793176912,0.032408528980766224,mobility,11
pre_covid,7,Grid_CI_low_share,0.004180640824752508,0.0027372918517666947,0.004180640824752508,0.021524852967768685,grid_carbon_intensity,12
pre_covid,7,Grid_CI_high_share,0.002566568623228201,0.0022656658544064827,5.2980622738274356e-05,0.013214484229208092,grid_carbon_intensity,13
pre_covid,7,Rainfall,0.0017225573899648488,0.0013961079380240408,-9.613188266321996e-05,0.008868926105301512,weather,14
pre_covid,7,Mobility_Retail_Recreation,0.0005991203469326588,0.0005118191384113558,0.0005991203469326588,0.0030846891465466856,mobility,15
pre_covid,7,Grid_fossil_share,0.0005695616660261339,0.0005809746421428462,-0.0003469429830848977,0.0029325004541655825,grid_generation_mix,16
pre_covid,7,OWID_RenewableShare_L1Y,0.0003538290264084172,0.0002780497806788796,-0.0003538290264084172,0.0018217584548466427,annual_transition,17
pre_covid,7,Mobility_Parks,0.00030092725834748315,0.0003055572204216258,0.00030092725834748315,0.001549383279130844,mobility,18
pre_covid,7,Grid_gas_share,3.348986072456952e-05,3.348986072456952e-05,4.784265817795646e-06,0.0001724291462063319,grid_generation_mix,19
pre_covid,7,Mobility_Residential,2.083360120312185e-06,2.0833601203121846e-06,2.083360120312185e-06,1.0726590048856304e-05,mobility,20
pre_covid,7,Mobility_Transit_Stations,0.0,0.0,0.0,0.0,mobility,21
pre_covid,7,Mobility_Grocery_Pharmacy,0.0,0.0,0.0,0.0,mobility,21
pre_covid,7,OWID_LowCarbonShare_L1Y,0.0,0.0,0.0,0.0,annual_transition,21
covid,8,Grid_CI_std,0.06290547289889373,0.07103603439783876,0.005927384306463576,0.31675657045038264,grid_carbon_intensity,1
covid,8,GDP,0.020341836304717174,0.022555682523954082,-0.017448195364342046,0.10243004316812969,macroeconomic,2
covid,8,Mobility_Workplaces,0.018705886978914742,0.021959403779929703,-0.015577730487923769,0.09419232276016648,mobility,3
covid,8,Grid_CI_p90,0.016691725847703474,0.01310139681666719,-0.0018023902775948062,0.084050140484828,grid_carbon_intensity,4
covid,8,COVID_Deaths,0.013188463762160093,0.014390786152216312,-0.010490732243507715,0.06640968358230798,shock_health,5
covid,8,Population,0.01234029783540834,0.01111619632784061,0.01234029783540834,0.06213879715939579,macroeconomic,6
covid,8,Grid_CI_mean,0.010823264989974917,0.008053083716203844,-0.0007055023358699129,0.05449987324330951,grid_carbon_intensity,7
covid,8,Grid_wind_share,0.00979767316466183,0.009381908147711757,-0.0026039163234219303,0.0493355698163205,grid_generation_mix,8
covid,8,Air_Temp,0.008338434636262812,0.009372753354447847,-4.089257670609656e-05,0.04198766556532384,weather,9
covid,8,Grid_low_carbon_share,0.007072035369333784,0.005008696770922402,0.001142659532256191,0.03561079134234391,grid_generation_mix,10
covid,8,Grid_renewable_share,0.005279424965175827,0.005014926778654099,-0.00018787849483836532,0.026584213882424133,grid_generation_mix,11
covid,8,Grid_CI_low_share,0.0050307027039378695,0.00482555773724192,0.000990743318895408,0.02533178850775081,grid_carbon_intensity,12
