n_observations,feature,mean_abs_shap,median_abs_shap,signed_mean_shap,share_of_total_attribution,family,rank
28,Grid_CI_std,0.060269344426967277,0.06534624939962386,0.0010361002392494305,0.31790994977680953,grid_carbon_intensity,1
28,Grid_CI_mean,0.020556373309418126,0.01882609879102992,-0.0004445968280556348,0.10843117124510103,grid_carbon_intensity,2
28,Grid_CI_p90,0.017060486897131733,0.01530442287135213,-0.0008420341846379964,0.08999099930823629,grid_carbon_intensity,3
28,COVID_Deaths,0.014039905589949183,0.01420050280240995,0.00039834073510867923,0.07405797629639971,shock_health,4
28,Population,0.013620789147392218,0.012961217215681196,0.0019939086387797318,0.07184721245831983,macroeconomic,5
28,GDP,0.01290252175961348,0.011736929781338033,-0.001017501537448618,0.06805848119956588,macroeconomic,6
28,Air_Temp,0.010979832513109194,0.011243204168242607,-8.43283146832439e-05,0.05791664130394075,weather,7
28,Mobility_Workplaces,0.008902197727420218,0.005988928303617189,-0.0008931215488193603,0.046957491562842915,mobility,8
28,Grid_wind_share,0.007406208151893432,0.005859972734859634,-0.0006883548083091767,0.03906641567104094,grid_generation_mix,9
28,Grid_low_carbon_share,0.005893858102208838,0.003922713039940731,0.0002880290480191231,0.031089041221202776,grid_generation_mix,10
28,Grid_renewable_share,0.005261613914105608,0.004554891776758441,-0.000618648596017505,0.027754066865705352,grid_generation_mix,11
28,Grid_CI_low_share,0.004841979895119229,0.002929691378045843,0.0008990405934271133,0.025540572905069066,grid_carbon_intensity,12
28,Grid_CI_high_share,0.002906804363613316,0.0031596908251658572,0.00018250079505121943,0.015332870102264366,grid_carbon_intensity,13
28,Rainfall,0.0015252419905931757,0.0014002380228596194,-3.8446147319359807e-05,0.008045377118951962,weather,14
28,OWID_RenewableShare_L1Y,0.0011153210241970546,0.0009878026375744183,0.00011298215100746083,0.0058831177634123015,annual_transition,15
28,Grid_fossil_share,0.0010241791052669404,0.0007666434549024872,-0.00031176498794029144,0.005402360536913088,grid_generation_mix,16
28,Mobility_Retail_Recreation,0.0008720699693242804,0.0008119518940939304,3.012992955138984e-05,0.0046000122082910195,mobility,17
28,Mobility_Parks,0.00037875938945114207,0.00029538511065372615,-7.063341061073929e-06,0.0019978876429263106,mobility,18
28,Grid_gas_share,2.0093916434741715e-05,1.0046958217370856e-05,5.023479108685427e-06,0.00010599179442426183,grid_generation_mix,19
28,Mobility_Residential,2.343780135351208e-06,2.0833601203121846e-06,-1.9531501127926723e-07,1.2363018582694082e-05,mobility,20
28,Mobility_Transit_Stations,0.0,0.0,0.0,0.0,mobility,21
28,Mobility_Grocery_Pharmacy,0.0,0.0,0.0,0.0,mobility,21
28,OWID_LowCarbonShare_L1Y,0.0,0.0,0.0,0.0,annual_transition,21
