date,target
2000-01-01,12.05233446394715
2000-04-01,11.930262488847362
2000-07-01,11.86637912614418
2000-10-01,12.04168609075258
2001-01-01,12.125637777638536
2001-04-01,11.961178633623607
2001-07-01,11.869703703573883
2001-10-01,12.0143829443796
2002-01-01,12.072850919239796
2002-04-01,11.889178697317563
2002-07-01,11.856637147736244
2002-10-01,12.026074786857361
2003-01-01,12.0766459599147
2003-04-01,11.92380124230537
2003-07-01,11.865333619094004
2003-10-01,12.056612779944357
2004-01-01,12.112047639536094
2004-04-01,11.91055865014721
2004-07-01,11.87349571235407
2004-10-01,12.052463319144696
2005-01-01,12.106698067237144
2005-04-01,11.93576541909579
2005-07-01,11.855633220273832
2005-10-01,12.057643980374403
2006-01-01,12.130829028776159
2006-04-01,11.889942400525971
2006-07-01,11.848841118156185
2006-10-01,12.01683583337819
2007-01-01,12.07931539933514
2007-04-01,11.88672032329955
2007-07-01,11.849488411762863
2007-10-01,12.04154405094878
2008-01-01,12.067601070273163
2008-04-01,11.900710531502458
2008-07-01,11.818065506389148
2008-10-01,11.9800900679921
2009-01-01,11.997302179759858
2009-04-01,11.767046617379957
2009-07-01,11.71905631751581
2009-10-01,11.913610500044282
2010-01-01,11.988813621374769
2010-04-01,11.805871906284462
2010-07-01,11.768797159785944
2010-10-01,11.99174821618662
2011-01-01,11.948481272672408
2011-04-01,11.737408918214783
2011-07-01,11.714957324537147
2011-10-01,11.889436074875045
2012-01-01,11.94272214489163
2012-04-01,11.803338804115024
2012-07-01,11.735708951468881
2012-10-01,11.925838766293412
2013-01-01,11.9640119122973
2013-04-01,11.789308695236004
2013-07-01,11.724185890786508
2013-10-01,11.879216525502923
2014-01-01,11.88359758971276
2014-04-01,11.717464215307789
2014-07-01,11.682281666957467
2014-10-01,11.836350817075061
2015-01-01,11.897518253865758
2015-04-01,11.68981982111723
2015-07-01,11.660328573914457
2015-10-01,11.777665366913599
2016-01-01,11.828222218073542
2016-04-01,11.655990641308165
2016-07-01,11.599732321046883
2016-10-01,11.787082231453466
2017-01-01,11.803928018517874
2017-04-01,11.608047445247951
2017-07-01,11.586809554921343
2017-10-01,11.760838894182452
2018-01-01,11.806504366897956
2018-04-01,11.61497380141353
2018-07-01,11.602089523277934
2018-10-01,11.751079000722662
2019-01-01,11.752413120759787
2019-04-01,11.613599415818983
2019-07-01,11.556197575503374
2019-10-01,11.729939871392155
2020-01-01,11.722578426101938
2020-04-01,11.363493467960852
2020-07-01,11.449314513506865
2020-10-01,11.616127152033584
2021-01-01,11.635510286909433
2021-04-01,11.495083234839225
2021-07-01,11.479251818356698
2021-10-01,11.66891673558482
2022-01-01,11.632709164629722
2022-04-01,11.51965675889279
2022-07-01,11.514345456305158
2022-10-01,11.60812563872411
2023-01-01,11.605567543100223
2023-04-01,11.461763740874297
2023-07-01,11.437290943617567
2023-10-01,11.573638553461606
2024-01-01,11.648259357115995
2024-04-01,11.498725115569087
2024-07-01,11.47046775840213
2024-10-01,11.622876129756364
2025-01-01,11.65387539705826
