2026-08-01 16:07:57 | INFO     | co2_forecast | Configuration A1: 11 features, 101 rows
2026-08-01 16:07:57 | INFO     | co2_forecast | Configuration A2: 25 features, 101 rows
2026-08-01 16:07:57 | INFO     | co2_forecast | Configuration A3: 23 features, 28 rows
2026-08-01 16:07:57 | INFO     | co2_forecast | Configuration A4: 37 features, 28 rows
2026-08-01 16:07:57 | INFO     | co2_forecast |   A1: 11 features (raw=11, engineered=0, grid=0, nominal_max=11)
2026-08-01 16:07:57 | INFO     | co2_forecast |   A2: 25 features (raw=11, engineered=14, grid=0, nominal_max=25)
2026-08-01 16:07:57 | INFO     | co2_forecast |   A3: 23 features (raw=11, engineered=0, grid=12, nominal_max=None)
2026-08-01 16:07:57 | INFO     | co2_forecast |   A4: 37 features (raw=11, engineered=14, grid=12, nominal_max=None)
2026-08-01 16:07:57 | INFO     | co2_forecast | ----------------------------------------
2026-08-01 16:07:57 | INFO     | co2_forecast | Step 5: Creating walk-forward CV splits (sensitivity-only: full period, A1/A2)...
2026-08-01 16:07:57 | INFO     | co2_forecast | Creating walk-forward splits for 101 valid samples
2026-08-01 16:07:57 | INFO     | co2_forecast | Created 44 CV folds across horizons [1, 2, 4]
2026-08-01 16:07:57 | INFO     | co2_forecast | Created 44 CV folds (sensitivity-only)
2026-08-01 16:07:57 | INFO     | co2_forecast | Creating walk-forward splits for 28 valid samples
2026-08-01 16:07:57 | INFO     | co2_forecast | Created 7 CV folds across horizons [1, 2, 4]
2026-08-01 16:07:57 | INFO     | co2_forecast | Built Panel 2 (common period) CV plan: 7 folds over 28 quarters [2018-04-01 00:00:00 - 2025-01-01 00:00:00]
2026-08-01 16:07:57 | INFO     | co2_forecast | PRIMARY common-period CV plan: 7 folds
2026-08-01 16:07:57 | INFO     | co2_forecast | ============================================================
2026-08-01 16:07:57 | INFO     | co2_forecast | Dataset creation complete!
2026-08-01 16:07:57 | INFO     | co2_forecast |   Raw data: 105 rows
2026-08-01 16:07:57 | INFO     | co2_forecast |   Clean data: 105 rows
2026-08-01 16:07:57 | INFO     | co2_forecast |   Features: 19 columns
2026-08-01 16:07:57 | INFO     | co2_forecast |   Valid samples: 101
2026-08-01 16:07:57 | INFO     | co2_forecast |   CV folds: 44
2026-08-01 16:07:57 | INFO     | co2_forecast |   Outputs saved to: outputs/runs/my_run
2026-08-01 16:07:57 | INFO     | co2_forecast | ============================================================
2026-08-01 16:32:40 | INFO     | co2_forecast | Logging to: outputs/runs/my_run/logs/my_run.log
2026-08-01 16:32:40 | INFO     | co2_forecast | ============================================================
2026-08-01 16:32:40 | INFO     | co2_forecast | Script 00: Make Dataset
2026-08-01 16:32:40 | INFO     | co2_forecast | ============================================================
2026-08-01 16:32:40 | INFO     | co2_forecast | Run ID: my_run
2026-08-01 16:32:40 | INFO     | co2_forecast | Input: data/raw/data 1999-2025Q1.xlsx
2026-08-01 16:32:40 | INFO     | co2_forecast | ----------------------------------------
2026-08-01 16:32:40 | INFO     | co2_forecast | Step 1: Loading raw data...
2026-08-01 16:32:40 | INFO     | co2_forecast | Loading data from: data/raw/data 1999-2025Q1.xlsx
2026-08-01 16:32:40 | INFO     | co2_forecast | Loaded sheet: Sheet1 (header row: 2)
2026-08-01 16:32:40 | INFO     | co2_forecast | Loaded 105 rows, 9 columns
2026-08-01 16:32:40 | INFO     | co2_forecast | Columns: ['Time_Period', 'CO2e', 'GDP', 'Population', 'Air_Temp', 'Rainfall', 'TEC', 'CEI', 'COVID_Deaths']
2026-08-01 16:32:40 | WARNING  | co2_forecast | Some expected features not found: ['GDP_growth', 'Industrial_Production', 'GDP_per_capita', 'Consumption', 'Investment']...
2026-08-01 16:32:40 | WARNING  | co2_forecast | Additional columns found: ['Air_Temp', 'Rainfall', 'TEC', 'CEI', 'COVID_Deaths']...
2026-08-01 16:32:40 | INFO     | co2_forecast | Date range: 1999-01-01 00:00:00 to 2025-01-01 00:00:00
2026-08-01 16:32:40 | INFO     | co2_forecast | Target column: CO2e
2026-08-01 16:32:40 | INFO     | co2_forecast | Data prepared: 105 rows, 8 columns
2026-08-01 16:32:40 | INFO     | co2_forecast | Loaded 105 rows, 8 columns
2026-08-01 16:32:40 | INFO     | co2_forecast | ----------------------------------------
2026-08-01 16:32:40 | INFO     | co2_forecast | Step 2: Data quality audit...
2026-08-01 16:32:40 | INFO     | co2_forecast | Generating data quality report...
2026-08-01 16:32:40 | INFO     | co2_forecast | Quality report saved to: outputs/runs/my_run/tables
2026-08-01 16:32:40 | INFO     | co2_forecast | Quality report saved to outputs/runs/my_run/tables
