feature,pre_covid,covid,post_covid
Rainfall,0.0307810357250962,0.0418314340544028,0.0316349266020257
Population,0.0468480443426011,0.0183767949818466,0.0237993276264716
Air_Temp,0.0301807868953896,0.0236620755205702,0.0227615835753544
COVID_Deaths,0.0176499606824561,0.0128288754583674,0.009649044003276
GDP,0.0069726437016888,0.0107980324354466,0.0077857115073465
Mobility_Parks,0.0068268447384983,0.0101440103732305,0.0044696801477804
