configuration,panel,fs_option,model,pareto_status,weighted_mase,worst_horizon_mase,error_std,n_features,total_runtime_seconds,mase_h1,mase_h2,mase_h4,vikor_S,vikor_R,vikor_Q,vikor_rank,final_decision
A1,panel2_common_period,fs_linear,random_forest,dominated,0.7113986869693464,0.7817008041150749,1487.8383659474478,6,1.7479631900787354,0.7817008041150749,0.756751616672856,0.4676139995497609,,,,,
A1,panel2_common_period,fs_linear,lightgbm,dominated,0.7880111458925376,0.9350450072072476,3488.0725734273874,6,0.2021286487579345,0.9350450072072476,0.6765560426989082,0.5876091473962068,,,,,
A1,panel2_common_period,fs_wrapper,ridge,dominated,0.9051731374752952,0.9852244988483996,1052.0210467920688,11,0.0056755542755126,0.9852244988483996,0.7390212925390525,0.9542725014468976,,,,,
A1,panel2_common_period,fs_wrapper,random_forest,dominated,0.7471041069090252,0.8510977178748461,1706.107842069763,11,1.1883282661437988,0.8510977178748461,0.771831677444531,0.4500287236912141,,,,,
A1,panel2_common_period,fs_wrapper,lightgbm,dominated,0.7610224286063254,0.8538128944821005,2681.3833426450115,11,0.2430083751678466,0.8538128944821005,0.7508414876210585,0.5443176753947881,,,,,
A1,panel2_common_period,fs_xgboost_shap,random_forest,dominated,0.7307607799408982,0.8399108262731197,1760.894882341618,5,2.3024697303771973,0.8399108262731197,0.7268096088003315,0.4638124208211943,,,,,
A1,panel2_common_period,fs_xgboost_shap,lightgbm,dominated,0.946013974226548,1.1757769893995418,2795.099746246148,5,0.3168885707855224,1.1757769893995418,0.7420257580694802,0.6775887605296651,,,,,
A1,panel2_common_period,fs_permutation_stability,lightgbm,dominated,1.0410666416960128,1.0797733416780904,753.1074792604932,5,0.0432620048522949,1.0454102468757347,1.0080228330750909,1.0797733416780904,,,,,
A1,panel2_common_period,fs_permutation_stability,catboost,dominated,1.1752559814861314,1.2914929090011102,977.000668118258,5,16.74435257911682,1.2914929090011102,1.0729491725298246,1.0381238761331446,,,,,
A1,panel2_common_period,fs_permutation_stability,lstm,dominated,1.029665927569141,1.0740254674631329,914.9798225346152,5,1.4421637058258057,1.039620904546653,0.9835012726772936,1.0740254674631329,,,,,
A1,panel2_common_period,fs_consensus,random_forest,dominated,0.7403748449916785,0.8784559789776879,1708.506685615312,10,2.227019786834717,0.8784559789776879,0.6956597763682748,0.462244612961761,,,,,
A2,panel2_common_period,fs_linear,random_forest,dominated,1.0044665022238193,1.2158218908662597,2167.235127319641,11,1.5171847343444824,1.2158218908662597,0.7794783482939731,0.8135602615124881,,,,,
A2,panel2_common_period,fs_linear,lightgbm,dominated,1.359053440476122,1.6431132005500797,3447.6573634248603,11,0.1963086128234863,1.3298054987778654,1.2184268365905784,1.6431132005500797,,,,,
A2,panel2_common_period,fs_linear,catboost,dominated,0.8760702086134917,1.076308451144956,2731.936545510404,11,119.684157371521,1.076308451144956,0.6264776960347113,0.7498633711530012,,,,,
A2,panel2_common_period,fs_linear,lstm,dominated,0.6234859258448091,0.8172398470744863,1547.4012502000132,11,3.865551233291626,0.8172398470744863,0.3499885494875321,0.5493471873065315,,,,,
A2,panel2_common_period,fs_wrapper,random_forest,dominated,0.8385735722897497,0.979294383544156,1852.81558318315,20,1.5144691467285156,0.979294383544156,0.7182317570195976,0.6672842670589622,,,,,
A2,panel2_common_period,fs_wrapper,lightgbm,dominated,0.8199400089152868,0.8912217443309824,2918.915036520674,20,0.5711550712585449,0.8390852624767507,0.7405100960357166,0.8912217443309824,,,,,
A2,panel2_common_period,fs_wrapper,catboost,dominated,0.7346997953865027,0.8568345466206043,1240.7126587315815,20,119.60757875442503,0.8568345466206043,0.6047288289873055,0.624319366900044,,,,,
A2,panel2_common_period,fs_wrapper,lstm,dominated,0.993460293687899,1.056687273845982,837.3758749643903,20,4.539450407028198,0.9887952205034436,0.9590840955566026,1.056687273845982,,,,,
A2,panel2_common_period,fs_xgboost_shap,lightgbm,dominated,0.922891212995426,1.1035877135494152,3379.7560084679485,5,0.3189785480499267,0.9519323555248902,0.754024975076993,1.1035877135494152,,,,,
A2,panel2_common_period,fs_permutation_stability,ridge,dominated,1.1155946709737063,1.2112008228827635,936.3785018991014,5,0.0049214363098144,1.2112008228827635,1.0480244525576026,0.9779346188252188,,,,,
A2,panel2_common_period,fs_permutation_stability,catboost,dominated,1.1752559814861314,1.2914929090011102,977.000668118258,5,8.32051682472229,1.2914929090011102,1.0729491725298246,1.0381238761331446,,,,,
A2,panel2_common_period,fs_consensus,random_forest,dominated,0.8191979199180961,0.8849060613308062,1692.603202532752,17,1.358004808425903,0.8849060613308062,0.774680489877023,0.721703711447931,,,,,
A2,panel2_common_period,fs_consensus,lightgbm,dominated,1.0161857730765944,1.1179851257805775,3556.552539941456,17,0.1879415512084961,1.0704561059545608,0.8578689831439945,1.1179851257805775,,,,,
A2,panel2_common_period,fs_consensus,catboost,dominated,0.7270928872124289,0.8003792350920705,1304.1601683571378,17,14.838303565979004,0.8003792350920705,0.6948228327473607,0.5922820992109271,,,,,
A2,panel2_common_period,fs_consensus,lstm,dominated,1.0249005792649073,1.0695833841434792,867.0306971977016,17,1.3203392028808594,1.030706866700948,0.9854348969524585,1.0695833841434792,,,,,
A3,panel2_common_period,fs_linear,lstm,dominated,1.0213624363644689,1.0703390141033315,802.0806421892253,11,4.697652816772461,1.0235264075004151,0.9851047659786498,1.0703390141033315,,,,,
A3,panel2_common_period,fs_wrapper,lstm,dominated,1.0223392532555875,1.071650337310984,829.9979710989666,15,4.356992721557617,1.027343520853711,0.981124751221784,1.071650337310984,,,,,
A3,panel2_common_period,fs_permutation_stability,random_forest,dominated,1.0455294722103112,1.0755073283571246,896.264367265589,5,0.8717474937438965,1.067566354519786,0.9888160975966446,1.0755073283571246,,,,,
A3,panel2_common_period,fs_permutation_stability,lightgbm,dominated,1.0410666416960128,1.0797733416780904,753.1074792604932,5,0.0285863876342773,1.0454102468757347,1.0080228330750909,1.0797733416780904,,,,,
A3,panel2_common_period,fs_permutation_stability,catboost,dominated,1.1203442598789837,1.2418732323713684,1973.857720683666,5,12.216327905654907,1.2418732323713684,0.8521259445897794,1.2188493015818265,,,,,
A3,panel2_common_period,fs_permutation_stability,lstm,dominated,1.0311644477063728,1.072981923508055,972.6654505176786,5,4.180846214294434,1.0445154188639374,0.9810345119093103,1.072981923508055,,,,,
A3,panel2_common_period,fs_consensus,random_forest,dominated,0.7745586053936891,0.808557814098018,1019.6454068728808,11,1.801208734512329,0.808557814098018,0.7639127860831418,0.7055293125986877,,,,,
A3,panel2_common_period,fs_consensus,lightgbm,dominated,0.5864649596156172,0.6159979276580826,1853.040549104552,11,0.8379380702972412,0.5998465302011315,0.6159979276580826,0.5087115810881333,,,,,
A3,panel2_common_period,fs_consensus,catboost,dominated,0.7437195224636504,0.8470005602474897,1347.375296628398,11,13.941001892089844,0.8470005602474897,0.5764398346913461,0.7364364596625086,,,,,
A4,panel2_common_period,fs_linear,random_forest,dominated,0.7677002089835049,0.9044360788913772,2061.405331569518,13,1.771867752075195,0.9044360788913772,0.6761373183088742,0.5632048702257696,,,,,
A4,panel2_common_period,fs_linear,catboost,dominated,0.663549569627783,0.7369438437657162,1826.759030768594,13,15.187255859375,0.7369438437657162,0.6120554976076475,0.5573049923131529,,,,,
A4,panel2_common_period,fs_linear,lstm,dominated,1.0210484854250197,1.0762731203274185,820.6622273248998,13,5.306659936904907,1.0283966293764788,0.9719851555709884,1.0762731203274185,,,,,
A4,panel2_common_period,fs_wrapper,lightgbm,dominated,0.7352762554127698,0.976177314695328,2063.644674095304,21,0.288278579711914,0.6749371520815506,0.976177314695328,0.5247724248169806,,,,,
A4,panel2_common_period,fs_wrapper,lstm,dominated,1.0206930529668408,1.070626415111483,806.057086513208,21,3.546168565750122,1.0221680836742977,0.9849457603579846,1.070626415111483,,,,,
A4,panel2_common_period,fs_xgboost_shap,ridge,dominated,0.8859955990628565,0.9712897412076456,1155.9252953723044,6,0.0074224472045898,0.9292931651774142,0.7569702274420678,0.9712897412076456,,,,,
A4,panel2_common_period,fs_xgboost_shap,random_forest,dominated,0.7431259173671029,0.8569531423804834,1440.2171549922982,6,2.751399040222168,0.6976236719761922,0.8569531423804834,0.6861406933243092,,,,,
A4,panel2_common_period,fs_xgboost_shap,lightgbm,dominated,0.8175063273272949,0.8915998802993162,1651.5520839091848,6,113.06533002853394,0.8915998802993162,0.7373992807924213,0.7524330146995517,,,,,
A4,panel2_common_period,fs_xgboost_shap,catboost,dominated,0.7137260926993207,0.7727522389385341,1004.7581916053412,6,13.834967136383057,0.6812670022894045,0.7727522389385341,0.7063345993652916,,,,,
A4,panel2_common_period,fs_permutation_stability,ridge,dominated,0.9653088456422252,1.1662662005316349,1837.5767395768275,5,0.0065441131591796,1.1662662005316349,0.6823991921068896,0.8872799387217047,,,,,
A4,panel2_common_period,fs_permutation_stability,random_forest,dominated,1.0455294722103126,1.0755073283571246,896.2643672655806,5,1.3706161975860596,1.0675663545197889,0.9888160975966446,1.0755073283571246,,,,,
A4,panel2_common_period,fs_permutation_stability,lightgbm,dominated,1.0410666416960128,1.0797733416780904,753.1074792604932,5,0.1103312969207763,1.0454102468757347,1.0080228330750909,1.0797733416780904,,,,,
A4,panel2_common_period,fs_permutation_stability,catboost,dominated,1.1203442598789837,1.2418732323713684,1973.857720683666,5,15.687000036239624,1.2418732323713684,0.8521259445897794,1.2188493015818265,,,,,
A4,panel2_common_period,fs_consensus,random_forest,dominated,0.8844437442180494,1.0316639053221075,1904.104586605598,15,1.6898696422576904,1.0316639053221075,0.7769411368616401,0.6776472524925181,,,,,
A4,panel2_common_period,fs_consensus,lightgbm,dominated,1.0410666416960128,1.0797733416780904,753.1074792604932,15,0.0387260913848876,1.0454102468757347,1.0080228330750909,1.0797733416780904,,,,,
A4,panel2_common_period,fs_consensus,catboost,dominated,0.8809636407189724,0.9804143518269076,1729.522793170575,15,21.011221408844,0.9804143518269076,0.7150897933087502,0.8811476340644679,,,,,
A4,panel2_common_period,fs_consensus,lstm,dominated,0.968356211748763,1.1375043156786522,1858.464274773128,15,1.92553973197937,0.8354006104654915,1.1375043156786522,1.0470230590621077,,,,,
A1,panel2_common_period,fs_linear,catboost,non_dominated,0.6548666323253567,0.6967684655693338,982.5291616911976,6,12.460653066635132,0.6967684655693338,0.5966489757731084,0.6374385340437864,0.1427886981551822,0.04873243878665176,0.0,1.0,selected
A3,panel2_common_period,fs_linear,lightgbm,non_dominated,0.5182814515194354,0.5792679810862083,1506.9136265137988,11,0.1356391906738281,0.5792679810862083,0.5317217750362668,0.3456546423272559,0.15862489340301741,0.07954097436942276,0.1276177458516696,2.0,
A2,panel2_common_period,fs_xgboost_shap,catboost,non_dominated,0.6887347930173113,0.799608655956023,1141.535933399104,5,10.233753204345703,0.6333966111941639,0.799608655956023,0.6607694531671128,0.1869373612886321,0.06973547196673516,0.14130262147805547,3.0,
A3,panel2_common_period,fs_xgboost_shap,random_forest,non_dominated,0.6918208146213009,0.759614461191931,1464.6462377676362,6,1.0767884254455566,0.759614461191931,0.6155116798713987,0.6368004003195786,0.20725065339577384,0.07520583622632672,0.19245677712568943,4.0,
A1,panel2_common_period,fs_wrapper,catboost,non_dominated,0.6294096386011814,0.6768608193313876,1092.6703754956577,11,17.632507801055908,0.6768608193313876,0.5561574910026015,0.6206599081735351,0.2096541362282872,0.07500000000000001,0.19568955587077458,5.0,
A2,panel2_common_period,fs_xgboost_shap,random_forest,non_dominated,0.7285041110310485,0.821464724428051,1310.7546616025531,5,1.9086756706237795,0.694086324534526,0.821464724428051,0.6751076571768511,0.21182870145036528,0.07665268437490566,0.2046927865660688,6.0,
A3,panel2_common_period,fs_linear,random_forest,non_dominated,0.7028928898980983,0.7639265796457022,1013.6508582380956,11,0.9639875888824464,0.7639265796457022,0.6205412986931862,0.6738360523364565,0.22832590326497057,0.07500000000000001,0.22608936807679325,7.0,
A3,panel2_common_period,fs_linear,catboost,non_dominated,0.6502309549259357,0.7265660361719393,1274.6372758969626,11,14.69077205657959,0.7265660361719393,0.5097073946606856,0.6701785922088023,0.24648939530544325,0.07500000000000001,0.2556616493692426,8.0,
A2,panel2_common_period,fs_xgboost_shap,ridge,non_dominated,0.8631033673313251,0.930123763559192,1050.3947654765475,5,0.0055012702941894,0.930123763559192,0.7116047703093681,0.9228002722945924,0.2608628087119543,0.11710132545522511,0.41822501876434603,9.0,
A3,panel2_common_period,fs_wrapper,lightgbm,non_dominated,0.5064382398753859,0.639686470284813,1803.4378044869025,15,0.0955028533935546,0.4864750748259402,0.639686470284813,0.3564738068848597,0.25421121925460743,0.125,0.43350374559190463,10.0,
A1,panel2_common_period,fs_xgboost_shap,ridge,non_dominated,0.8803982273796316,0.9541202068530328,1095.898515186048,5,0.0050230026245117,0.9499066168516592,0.7154029252773182,0.9541202068530328,0.2788020849757105,0.12277962389069384,0.4662013059236916,11.0,
A1,panel2_common_period,fs_linear,ridge,non_dominated,0.8796317971671495,0.9510382890911324,1065.359189310495,6,0.0052449703216552,0.9494285886508056,0.7156994834117341,0.9510382890911324,0.2869431319904148,0.12252798730824808,0.47862411908933844,12.0,
A3,panel2_common_period,fs_xgboost_shap,ridge,non_dominated,0.8552300931336236,0.9388070928941148,1343.1433988434012,6,0.0052096843719482,0.9388070928941148,0.6658893366514514,0.9302987284556542,0.30355122668089013,0.11451634931584305,0.4791823532943368,13.0,
