configuration,panel,fs_option,model,pareto_status,weighted_mase,worst_horizon_mase,error_std,n_features,total_runtime_seconds,mase_h1,mase_h2,mase_h4,vikor_S,vikor_R,vikor_Q,vikor_rank,final_decision,global_rank
A2,panel2_common_period,all_features,lightgbm,dominated,0.9333299143099474,1.101440133460533,2631.063421648836,25,0.2010390758514404,1.101440133460533,0.7304407177923545,0.8173881612098728,,,,,,19
A2,panel2_common_period,all_features,catboost,dominated,0.7222742293341955,0.7365150665875235,1264.3964199373677,25,15.173757076263428,0.7365150665875235,0.7092841406780404,0.7061572691851082,,,,,,18
A2,panel2_common_period,all_features,lstm,dominated,0.7103405382870454,0.7654191382872457,1880.464412018914,25,1.4745361804962158,0.7109036605656429,0.6726829344892489,0.7654191382872457,,,,,,17
A4,panel2_common_period,all_features,lstm,dominated,0.9490328573272204,1.1177382759002792,2592.446821604235,37,1.6467618942260742,0.8845712688031269,0.9439985591520036,1.1177382759002792,,,,,,20
A3,panel2_common_period,all_features,lightgbm,non_dominated,0.4541120170628795,0.5751086612925513,1610.8713182670465,23,0.2641775608062744,0.3762793997352335,0.5751086612925513,0.4671985940374868,0.17956435307854263,0.09230769230769231,0.0,1.0,selected,1
A3,panel2_common_period,all_features,catboost,non_dominated,0.6228073310154414,0.6673200276778489,1228.0987763052897,23,13.11641764640808,0.6673200276778489,0.5867150457594842,0.5656640172433586,0.24883401748417544,0.09230769230769231,0.09142933321212643,2.0,,2
A3,panel2_common_period,all_features,random_forest,non_dominated,0.6833291103349601,0.7167716180287034,1122.4959828564597,23,1.2706539630889893,0.6942345175577161,0.7167716180287034,0.605901830737455,0.26646139640079686,0.09230769230769231,0.11469578779153011,3.0,,3
A2,panel2_common_period,all_features,random_forest,non_dominated,0.7204208117491967,0.7477989573343731,1055.03487764644,25,1.1871023178100586,0.7168215225562194,0.7477989573343731,0.6883518163538755,0.30009975489520035,0.1076923076923077,0.2305237758172994,4.0,,4
A1,panel2_common_period,all_features,random_forest,non_dominated,0.7471041069090396,0.8510977178748762,1706.107842069779,11,0.9938275814056396,0.8510977178748762,0.7718316774445091,0.4500287236912435,0.31150287808787513,0.10990155809299323,0.2558320420289942,5.0,,5
A2,panel2_common_period,all_features,ridge,non_dominated,0.7339160346445478,0.8122874345202173,1220.1429363574348,25,0.0069861412048339,0.8122874345202173,0.5671753192938409,0.7880986079814346,0.34675297095303237,0.1076923076923077,0.29210155987282593,6.0,,6
A1,panel2_common_period,all_features,ridge,non_dominated,0.9051731374752952,0.9852244988483996,1052.0210467920688,11,0.0055925846099853,0.9852244988483996,0.7390212925390525,0.9542725014468976,0.35069224309245084,0.16331216209855762,0.5555360607248535,7.0,,7
A1,panel2_common_period,all_features,catboost,non_dominated,0.6294096386011814,0.6768608193313876,1092.6703754956577,11,192.57786893844604,0.6768608193313876,0.5561574910026015,0.6206599081735351,0.3347449072316253,0.2,0.7048234925843079,8.0,,8
A4,panel2_common_period,all_features,catboost,non_dominated,0.6147095126058257,0.7189085281744806,904.8216700024684,37,13.155741691589355,0.7189085281744806,0.515463835657637,0.5030804891064716,0.3401209256775981,0.2,0.7119193228596371,9.0,,9
A3,panel2_common_period,all_features,ridge,non_dominated,0.8393501161305349,0.9947351065967158,1562.2270482207246,23,0.0053796768188476,0.9947351065967158,0.5739766781464337,0.8489477969412346,0.47738900656890926,0.16709937968933722,0.7403471835768525,10.0,,10
A4,panel2_common_period,all_features,random_forest,non_dominated,0.6992468508403759,0.7464284659690358,1155.46996742777,37,1.1739981174468994,0.6645418770327073,0.7256340637673835,0.7464284659690358,0.3949687352780373,0.2,0.7843131867962154,11.0,,11
A1,panel2_common_period,all_features,lstm,non_dominated,1.0201003381189613,1.0650612748402974,786.8749757953339,11,4.146690368652344,1.020187655988863,0.9899808505215676,1.0650612748402974,0.3994049927274251,0.2,0.7901686224192277,12.0,,12
A4,panel2_common_period,all_features,ridge,non_dominated,0.705983112183878,0.7917453870817062,1073.0887932645724,37,0.0054020881652832,0.7917453870817062,0.5376153092647539,0.7441291293179937,0.4054842246431591,0.2,0.7981926272309536,13.0,,13
A1,panel2_common_period,all_features,lightgbm,non_dominated,0.7610224286063254,0.8538128944821005,2681.3833426450115,11,0.3458983898162842,0.8538128944821005,0.7508414876210585,0.5443176753947881,0.41978756711008647,0.2,0.8170716715525473,14.0,,14
A3,panel2_common_period,all_features,lstm,non_dominated,1.0179928029700325,1.077356420780723,929.8399201387814,23,6.017509937286377,1.021505425325284,0.9725626871708196,1.077356420780723,0.5128995467304648,0.2,0.9399705809640391,15.0,,15
A4,panel2_common_period,all_features,lightgbm,non_dominated,0.7218276274534372,0.7907380664815777,2470.719176691301,37,0.1519949436187744,0.7907380664815777,0.7784938143686723,0.4645522495102334,0.5583796740047017,0.2,1.0,16.0,,16
