run_id,configuration,panel,fs_option,model,horizon,fold_id,target_date,actual,predicted,residual
my_run,A1,panel2_common_period,fs_linear,catboost,1,0,2022-07-01,100142.10000000003,100494.0110284896,351.91102848957235
my_run,A1,panel2_common_period,fs_linear,catboost,1,0,2022-10-01,109987.89999999998,115291.91236109054,5304.0123610905575
my_run,A1,panel2_common_period,fs_linear,catboost,1,0,2023-01-01,109706.89999999992,113740.61873677136,4033.7187367714505
my_run,A1,panel2_common_period,fs_linear,catboost,1,0,2023-04-01,95012.50000000006,101636.33507279206,6623.835072792004
my_run,A1,panel2_common_period,fs_linear,catboost,1,1,2023-07-01,92715.5,96178.1306946978,3462.6306946978
my_run,A1,panel2_common_period,fs_linear,catboost,1,1,2023-10-01,106259.39999999992,117415.40475079088,11156.004750790948
my_run,A1,panel2_common_period,fs_linear,catboost,1,1,2024-01-01,114491.90000000008,115459.37335068364,967.473350683562
my_run,A1,panel2_common_period,fs_linear,catboost,1,1,2024-04-01,98590.0,95733.74107715976,-2856.2589228402503
my_run,A1,panel2_common_period,fs_linear,catboost,1,2,2024-07-01,95843.10000000003,111382.02021757072,15538.920217570674
my_run,A1,panel2_common_period,fs_linear,catboost,1,2,2024-10-01,111622.30000000002,111061.41977321757,-560.8802267824503
my_run,A1,panel2_common_period,fs_linear,catboost,1,2,2025-01-01,115136.6999999999,111898.90263335212,-3237.797366647763
