2026-08-23 21:01:04 | INFO     | co2_forecast | Models: ['ridge', 'random_forest', 'catboost', 'lightgbm', 'lstm'], base eval_plan folds: 7
2026-08-23 21:01:04 | INFO     | co2_forecast | M3 restricted eval plan: 3/7 outer folds retained
2026-08-23 21:01:04 | INFO     | co2_forecast | M0: reused 22 rows from outputs/runs/my_run/metrics/stream_A/metrics.csv
2026-08-23 21:01:04 | INFO     | co2_forecast | --- Scenario M1: 7 outer folds, 17 features in A3 ---
2026-08-23 21:01:04 | INFO     | co2_forecast | ============================================================
2026-08-23 21:01:04 | INFO     | co2_forecast | Stream A: 4 configurations x 5 models, NO feature selection (20 candidates)
2026-08-23 21:01:04 | INFO     | co2_forecast | ============================================================
2026-08-23 21:01:04 | INFO     | co2_forecast | Stream A cell: A1/ridge (5 features, 28 rows)
2026-08-23 21:01:04 | INFO     | co2_forecast | Creating walk-forward splits for 16 valid samples
2026-08-23 21:01:04 | INFO     | co2_forecast | Created 4 CV folds across horizons [1, 2, 4]
2026-08-23 21:01:04 | INFO     | co2_forecast | Built tuning CV plan: 4 folds from 16 rows before 2022-Q%q (evaluation cutoff) - isolation OK (max tuning date 2021-Q%q)
2026-08-23 21:01:04 | INFO     | co2_forecast | Optimizing ridge...
2026-08-23 21:01:04 | INFO     | co2_forecast | Starting PSO: 8 particles, 10 iterations
2026-08-23 21:01:04 | INFO     | co2_forecast |   Iteration 0: Best fitness = 2.500217
2026-08-23 21:01:04 | INFO     | co2_forecast |   Iteration 5: Best fitness = 2.142411
2026-08-23 21:01:04 | INFO     | co2_forecast |   Iteration 9: Best fitness = 2.142411
2026-08-23 21:01:04 | INFO     | co2_forecast | PSO complete. Best fitness: 2.142411
2026-08-23 21:01:04 | INFO     | co2_forecast |   Best params: {'alpha': 100.0}
2026-08-23 21:01:04 | INFO     | co2_forecast |   Best fitness: 2.142411
2026-08-23 21:01:04 | INFO     | co2_forecast | [A1/panel2_common_period/all_features/ridge] sweep tuning: best_params={'alpha': 100.0}
2026-08-23 21:01:04 | INFO     | co2_forecast |   -> weighted_mase=0.8868730159181462, runtime=0.3s
2026-08-23 21:01:04 | INFO     | co2_forecast | Stream A cell: A1/random_forest (5 features, 28 rows)
2026-08-23 21:01:04 | INFO     | co2_forecast | Creating walk-forward splits for 16 valid samples
2026-08-23 21:01:04 | INFO     | co2_forecast | Created 4 CV folds across horizons [1, 2, 4]
2026-08-23 21:01:04 | INFO     | co2_forecast | Built tuning CV plan: 4 folds from 16 rows before 2022-Q%q (evaluation cutoff) - isolation OK (max tuning date 2021-Q%q)
2026-08-23 21:01:04 | INFO     | co2_forecast | Optimizing random_forest...
2026-08-23 21:01:04 | INFO     | co2_forecast | Starting PSO: 8 particles, 10 iterations
2026-08-23 21:01:09 | INFO     | co2_forecast |   Iteration 0: Best fitness = 0.668151
2026-08-23 21:01:25 | INFO     | co2_forecast |   Iteration 5: Best fitness = 0.375716
2026-08-23 21:01:37 | INFO     | co2_forecast |   Iteration 9: Best fitness = 0.371169
