model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds,variant
ridge,6536.90535317488,0.9000550920296699,0.9778260317737497,0.0009465873067470802,1055.4265893618106,7908.896725664374,6901.206858724742,8233.266426832814,6.874682044021905,6.636936804078289,0.9778260317737497,-0.09369053394433702,5442.766767308405,6916.90596532545,5.498452868385834,5.339431542181411,0.7342177631840289,0.1967475319898384,7267.359468099936,7857.055092194748,7.198689751796783,7.023823632026691,0.954383735937932,0.17764408035657353,A3_forecast_error_std_only,panel2_common_period,all_features,12,7,0.002507448196411133,A3_forecast_error_std_only
random_forest,5360.344334303388,0.7407367817609363,0.8646411067896955,0.0007301606790259408,1368.5615618935192,6620.256396351106,6102.381142060927,7274.477244542239,5.956858236198049,5.723814654605011,0.8646411067896955,0.14620482930006273,4820.443539591184,6735.036350972847,4.8127475364157,4.618737592736714,0.650267671665049,0.23843283051747932,4315.103506977843,4840.666859260708,4.223772325242896,4.166122830694447,0.566679634332869,0.6878591445520257,A3_forecast_error_std_only,panel2_common_period,all_features,12,7,0.23907208442687988,A3_forecast_error_std_only
catboost,5347.195828856627,0.7374075490650669,0.8238119343639204,0.0010643820949915912,938.5122340985079,6889.410445255133,5814.220921709982,7119.520968305554,5.762774399869519,5.520422818352955,0.8238119343639204,0.18219142214899675,4718.575023599937,6435.381674783104,4.670522104541893,4.560778830406464,0.6365258236036524,0.3046924510707485,5122.564304608271,5509.311796661557,5.078495175385969,4.9746591691723605,0.6727191740100543,0.5956709645350997,A3_forecast_error_std_only,panel2_common_period,all_features,12,7,0.030753612518310547,A3_forecast_error_std_only
lightgbm,4639.970287842231,0.6434111819930152,0.813639507969878,0.0005226245304909879,1912.4195615742226,8694.84200752021,5742.426945563639,7509.6455175618075,5.697248724181502,5.424463308531314,0.813639507969878,0.09010979671699337,4020.6581764788552,4814.304962936433,3.916723194033109,3.8984964810766756,0.5423783121836293,0.6108692777934726,2812.7968105837754,3307.4922676672854,2.804851505582273,2.7594402732399197,0.3693896717649371,0.8542737123697924,A3_forecast_error_std_only,panel2_common_period,all_features,12,7,0.13978242874145508,A3_forecast_error_std_only
lstm,7409.207698863609,1.0181639684621813,1.0834814864430684,0.0011327211625452077,881.8298023081115,8551.52656249996,7236.8303977272435,8212.978064297835,7.113412115911645,6.951151619379731,1.0253802407738437,-0.08830704465233108,7135.7070312499745,8469.253013423864,7.220819084689644,6.944449961064148,0.962591835955486,-0.2042552275023355,8250.401953124976,8950.28533098936,8.058447206163239,7.952002793435476,1.0834814864430684,-0.06712178890804199,A3_forecast_error_std_only,panel2_common_period,all_features,12,7,0.9025626182556152,A3_forecast_error_std_only
