,pearson_vs_Grid_CI_std,spearman_vs_Grid_CI_std
Grid_CI_mean,0.09563246645617755,0.0038314176245210726
Grid_CI_p90,0.49474549181888156,0.3351129646043942
Grid_CI_high_share,0.38264262579107616,0.5101258894362343
Grid_CI_low_share,0.07989101180556864,0.18226600985221675
Grid_forecast_error_mean_abs,0.034859864590876116,0.11932129173508484
Grid_forecast_error_std,0.16487985653062578,0.07279693486590039
n_forecast_error_obs,-0.31508662602772586,-0.2531267642320084
Grid_wind_share_std,0.3749499125525411,0.37547892720306514
