fold_id,horizon,train_start,train_end,test_start,test_end,train_size,test_size
0,1,2018-04-01,2022-01-01,2022-04-01,2023-01-01,16,4
1,1,2018-04-01,2023-01-01,2023-04-01,2024-01-01,20,4
2,1,2018-04-01,2024-01-01,2024-04-01,2024-10-01,24,3
3,2,2018-04-01,2022-01-01,2022-04-01,2023-01-01,16,4
4,2,2018-04-01,2023-01-01,2023-04-01,2024-01-01,20,4
5,4,2018-04-01,2022-01-01,2022-04-01,2023-01-01,16,4
6,4,2018-04-01,2023-01-01,2023-04-01,2024-01-01,20,4
